ID,Note,Amount,Category,Account,Currency,Date,Event,Exclude Report
255,Mega Image,-40.39,Restaurants,Cash,RON,24/06/2022,No,False
256,Deodorant,-17.24,Personal Care,Cash,RON,24/06/2022,No,False
257,Mega Image,-8.22,Restaurants,Cash,RON,23/06/2022,No,False
258,Cartele interfon,-60,Other Expense,Cash,RON,23/06/2022,No,False
259,Mega Image,-10.37,Restaurants,Cash,RON,20/06/2022,No,False
260,"Tenisi, pantaloni ploaie, husa ploaie",-334.97,Sports,Cash,RON,20/06/2022,No,False
261,Lebeniță,-30,Restaurants,Cash,RON,19/06/2022,No,False
262,Bilet CTP,-2.5,Transportation,Cash,RON,19/06/2022,No,False
263,Bilet Vișeu de sus,-48,Transportation,Cash,RON,19/06/2022,No,False
264,,-19.7,Taxi,Cash,RON,19/06/2022,No,False
265,,-5,Charity,Cash,RON,19/06/2022,No,False
266,Ady,100,Other Income,Cash,RON,19/06/2022,No,False
267,,-24.6,Taxi,Cash,RON,17/06/2022,No,False
268,Detartraj,-330,Doctor,Cash,RON,17/06/2022,No,False
269,Mega Image,-16.43,Restaurants,Cash,RON,16/06/2022,No,False
270,Mega Image,-22.31,Restaurants,Cash,RON,15/06/2022,No,False
271,Mega Image,-14.35,Restaurants,Cash,RON,14/06/2022,No,False
272,Fresh box,-28,Restaurants,Cash,RON,14/06/2022,No,False
273,Mega Image,-8.79,Food & Beverage,Cash,RON,13/06/2022,No,False
274,,-462.79,Petrol,Cash,RON,13/06/2022,No,False
275,BTC,-2000,Crypto Buy,Cash,RON,13/06/2022,No,False
276,Bere,-60,Food & Beverage,Cash,RON,12/06/2022,No,False
277,Profi,-2.61,Restaurants,Cash,RON,10/06/2022,No,False
278,Laura,-396,Friends & Lover,Cash,RON,10/06/2022,No,False
279,,7620,Salary,Cash,RON,07/06/2022,No,False
280,Cafea boabe,-234,Café,Cash,RON,06/06/2022,No,False
281,Bilet CTP,-2.5,Transportation,Cash,RON,06/06/2022,No,False
282,Verighete,-4560,Family,Cash,RON,06/06/2022,No,False
283,Bere,-106.6,Food & Beverage,Cash,RON,03/06/2022,No,False
284,Mega Image,-14.5,Restaurants,Cash,RON,03/06/2022,No,False
285,Bonuri masa,357,Salary,Cash,RON,03/06/2022,No,False
286,Carmangeria Halal,-37.76,Restaurants,Cash,RON,01/06/2022,No,False
287,Oculus Rift S,-800,Electronics,Cash,RON,31/05/2022,No,False
288,Laura,-29.85,Friends & Lover,Cash,RON,31/05/2022,No,False
289,Auchan,-124.16,Restaurants,Cash,RON,29/05/2022,No,False
290,Spartan,-41.5,Restaurants,Cash,RON,29/05/2022,No,False
291,,-134.92,Water Bill,Cash,RON,29/05/2022,No,False
292,,-56.83,Internet Bill,Cash,RON,29/05/2022,No,False
293,,-3,Parking Fees,Cash,RON,29/05/2022,No,False
294,Bere,-47.19,Food & Beverage,Cash,RON,27/05/2022,No,False
295,Mega Image,-15.37,Restaurants,Cash,RON,27/05/2022,No,False
296,Profi,-52.5,Restaurants,Cash,RON,26/05/2022,No,False
297,Stradale,-30,Restaurants,Cash,RON,26/05/2022,No,False
298,"Gel dus, sampon",-45,Personal Care,Cash,RON,26/05/2022,No,False
299,Fresh box,-24,Restaurants,Cash,RON,25/05/2022,No,False
300,Fresh box,-28,Restaurants,Cash,RON,24/05/2022,No,False
301,Comoda camera IKEA,-1048,Home Improvement,Cash,RON,23/05/2022,No,False
302,Scaun si dulap birou,-818.72,Home Improvement,Cash,RON,23/05/2022,No,False
303,Mariflor,-34.04,Restaurants,Cash,RON,21/05/2022,No,False
304,,-476.36,Petrol,Cash,RON,21/05/2022,No,False
305,Rovinieta,-138.53,Maintenance,Cash,RON,21/05/2022,No,False
306,Bere,-11,Food & Beverage,Cash,RON,20/05/2022,No,False
307,Mariflor,-103.2,Restaurants,Cash,RON,20/05/2022,No,False
308,Mega Image,-25.95,Restaurants,Cash,RON,18/05/2022,No,False
309,"Suc, cidru",-35.5,Food & Beverage,Cash,RON,17/05/2022,No,False
310,Mega Image,-24.57,Restaurants,Cash,RON,17/05/2022,No,False
311,,-91.7,Electricity Bill,Cash,RON,17/05/2022,No,False
312,Mega Image,-36.3,Restaurants,Cash,RON,16/05/2022,No,False
313,Bilet CTP,-2.5,Transportation,Cash,RON,16/05/2022,No,False
314,"Placute si discuri spate, bucșe spate, revizie, curățare tubulatura turbo",-4228.01,Maintenance,Cash,RON,16/05/2022,No,False
315,Mega Image,-16.43,Restaurants,Cash,RON,12/05/2022,No,False
316,Back to da Vinci,-65,Restaurants,Cash,RON,12/05/2022,No,False
317,Bogdan,-114.23,Friends & Lover,Cash,RON,12/05/2022,No,False
318,Deodorant,-18.52,Personal Care,Cash,RON,12/05/2022,No,False
319,Bilet CTP,-2.5,Transportation,Cash,RON,11/05/2022,No,False
320,"Laura, revizie bicicleta",-200,Friends & Lover,Cash,RON,11/05/2022,No,False
321,Cabină duș,-2305,Home Improvement,Cash,RON,11/05/2022,No,False
322,"Banda dublu adeziva, burghie gresie",-131.84,Home Improvement,Cash,RON,11/05/2022,No,False
323,Stradale,-15,Restaurants,Cash,RON,10/05/2022,No,False
324,Biblioteca,-638,Home Improvement,Cash,RON,10/05/2022,No,False
325,Mega Image,-3.31,Restaurants,Cash,RON,09/05/2022,No,False
326,Profi,-91.4,Restaurants,Cash,RON,07/05/2022,No,False
327,Mega Image,-17.05,Restaurants,Cash,RON,06/05/2022,No,False
328,Mega Image,-18.95,Restaurants,Cash,RON,05/05/2022,No,False
329,,7620,Salary,Cash,RON,05/05/2022,No,False
330,Mega Image,-36.87,Restaurants,Cash,RON,04/05/2022,No,False
331,Bonuri masa,272,Salary,Cash,RON,04/05/2022,No,False
332,Profi,-9.98,Restaurants,Cash,RON,03/05/2022,No,False
333,Pastile efervescente Mg,-15.99,Pharmacy,Cash,RON,03/05/2022,No,False
334,Apa cu Mg,-5.6,Food & Beverage,Cash,RON,02/05/2022,No,False
335,Stradale,-28,Restaurants,Cash,RON,02/05/2022,No,False
336,Automation - The Car Company Tycoon Game,-126.3,Games,Cash,RON,01/05/2022,No,False
337,BeamNG Drive,-104.17,Games,Cash,RON,01/05/2022,No,False
338,,-178.94,Water Bill,Cash,RON,30/04/2022,No,False
339,Revizie bicicleta,-183,Bike,Cash,RON,29/04/2022,No,False
340,Stradale,-30,Restaurants,Cash,RON,28/04/2022,No,False
341,Stradale,-28,Restaurants,Cash,RON,27/04/2022,No,False
342,Mega Image,-19.87,Restaurants,Cash,RON,26/04/2022,No,False
343,,-104.85,Internet Bill,Cash,RON,26/04/2022,No,False
344,RCA,-1064,Maintenance,Cash,RON,26/04/2022,No,False
345,Suc si bere,-51.6,Food & Beverage,Cash,RON,25/04/2022,No,False
346,Gradina botanica,-11,Other Expense,Cash,RON,24/04/2022,No,False
347,Profi,-8.49,Restaurants,Cash,RON,23/04/2022,No,False
348,Medieval dynasty,-112.08,Games,Cash,RON,23/04/2022,No,False
349,Jozsi,-307.9,Friends & Lover,Cash,RON,22/04/2022,No,False
350,Filtru apa,-109.9,Home Improvement,Cash,RON,22/04/2022,No,False
351,Dulap cu oglinda baie,-1175,Home Improvement,Cash,RON,22/04/2022,No,False
352,Covor,-381,Home Improvement,Cash,RON,22/04/2022,No,False
353,Bere,-35,Food & Beverage,Cash,RON,21/04/2022,No,False
354,Stradale,-30,Restaurants,Cash,RON,21/04/2022,No,False
355,Draperii cu cleme,-299.8,Home Improvement,Cash,RON,20/04/2022,No,False
356,,-18.6,Taxi,Cash,RON,19/04/2022,No,False
357,Twelve,-39,Restaurants,Cash,RON,18/04/2022,No,False
358,Guma de mestecat,-2.07,Personal Care,Cash,RON,18/04/2022,No,False
359,Birou standing electric,-1289.99,Home Improvement,Cash,RON,18/04/2022,No,False
360,Cora,-47.34,Restaurants,Cash,RON,17/04/2022,No,False
361,,-20,Taxi,Cash,RON,17/04/2022,No,False
362,Profi,-21.06,Restaurants,Cash,RON,15/04/2022,No,False
363,,-440.99,Petrol,Cash,RON,15/04/2022,No,False
364,"Sampon, gel dus, deodorant",-154.1,Personal Care,Cash,RON,15/04/2022,No,False
365,Schimb butuc usa intrare,-114,Home Improvement,Cash,RON,15/04/2022,No,False
366,Furtun mașină de spălat,-12,Home Improvement,Cash,RON,13/04/2022,No,False
367,Stradale,-34,Restaurants,Cash,RON,11/04/2022,No,False
368,Curățenie,-950,Home Services,Cash,RON,11/04/2022,No,False
369,Burghie metal,-30,Home Improvement,Cash,RON,09/04/2022,No,False
370,Stradale,-32,Restaurants,Cash,RON,07/04/2022,No,False
371,Stradale,-28,Restaurants,Cash,RON,06/04/2022,No,False
372,,6826,Salary,Cash,RON,06/04/2022,No,False
373,Bere,-20,Food & Beverage,Cash,RON,05/04/2022,No,False
374,Carrefour,-7.31,Restaurants,Cash,RON,05/04/2022,No,False
375,Stradale,-26,Restaurants,Cash,RON,05/04/2022,No,False
